Family,Genus,Species,Comun Name,Number of recordings
Thamnophilidae,Drymophila,Drymophila hellmayri,SantaMartaAntbird,36
Tyrannidae,Phyllomyias,Phyllomyias cinereiceps,Ashy-headedTyrannulet,36
Tyrannidae,Phyllomyias,Phyllomyias uropygialis,Tawny-rumpedTyrannulet,36
Tyrannidae,Myiophobus,Myiophobus phoenicomitra,Orange-crestedFlycatcher,36
Thraupidae,Iridosornis,Iridosornis analis,Yellow-throatedTanager,36
Tyrannidae,Mionectes,Mionectes striaticollis,Streak-neckedFlycatcher,36
Vireonidae,Vireolanius,Vireolanius eximius,Yellow-browedShrike-Vireo,36
Thraupidae,Conirostrum,Conirostrum cinereum,CinereousConebill,36
Furnariidae,Synallaxis,Synallaxis moesta,DuskySpinetail,36
Tyrannidae,Hemitriccus,Hemitriccus rufigularis,Buff-throatedTody-Tyrant,37
Furnariidae,Dendrocincla,Dendrocincla merula,White-chinnedWoodcreeper,37
Hirundinidae,Atticora,Atticora fasciata,White-bandedSwallow,37
Thamnophilidae,Isleria,Isleria guttata,Rufous-belliedAntwren,37
Thraupidae,Catamenia,Catamenia analis,Band-tailedSeedeater,37
Tityridae,Laniisoma,Laniisoma elegans,BrazilianLaniisoma,37
Passerellidae,Atlapetes,Atlapetes melanocephalus,SantaMartaBrushfinch,37
Furnariidae,Automolus,Automolus melanopezus,Brown-rumpedFoliage-gleaner,37
Thraupidae,Sphenopsis,Sphenopsis melanotis,Black-earedHemispingus,37
Thamnophilidae,Myrmochanes,Myrmochanes hemileucus,Black-and-whiteAntbird,38
Tyrannidae,Nephelomyias,Nephelomyias pulcher,HandsomeFlycatcher,38
Tyrannidae,Stigmatura,Stigmatura napensis,LesserWagtail-Tyrant,38
Tyrannidae,Myiopagis,Myiopagis subplacens,PacificElaenia,38
Furnariidae,Cranioleuca,Cranioleuca hellmayri,Streak-cappedSpinetail,38
Thamnophilidae,Myrmoborus,Myrmoborus lugubris,Ash-breastedAntbird,38
Thraupidae,Kleinothraupis,Kleinothraupis atropileus,Black-cappedHemispingus,39
Tyrannidae,Tyrannus,Tyrannus albogularis,White-throatedKingbird,39
Thamnophilidae,Clytoctantes,Clytoctantes alixii,Recurve-billedBushbird,39
Troglodytidae,Odontorchilus,Odontorchilus branickii,Grey-mantledWren,39
Thraupidae,Diglossa,Diglossa glauca,Golden-eyedFlowerpiercer,39
Tyrannidae,Todirostrum,Todirostrum nigriceps,Black-headedTody-Flycatcher,40
Thamnophilidae,Herpsilochmus,Herpsilochmus dugandi,Dugand'sAntwren,40
Icteridae,Gymnomystax,Gymnomystax mexicanus,OrioleBlackbird,40
Thraupidae,Ramphocelus,Ramphocelus nigrogularis,MaskedCrimsonTanager,41
